Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute, by type), A, Current week","Hepatitis (viral, acute, by type), A, Current week, flag ","Hepatitis (viral, acute, by type), A, Previous 52 weeks Med","Hepatitis (viral, acute, by type), A, Previous 52 weeks Med, flag","Hepatitis (viral, acute, by type), A, Previous 52 weeks Max","Hepatitis (viral, acute, by type), A, Previous 52 weeks Max, flag","Hepatitis (viral, acute, by type), A, Cum 2017","Hepatitis (viral, acute, by type), A, Cum 2017, flag","Hepatitis (viral, acute, by type), A, Cum 2016","Hepatitis (viral, acute, by type), A, Cum 2016, flag","Hepatitis (viral, acute, by type), B, Current week","Hepatitis (viral, acute, by type), B, Current week, flag","Hepatitis (viral, acute, by type), B, Previous 52 weeks Med","Hepatitis (viral, acute, by type), B, Previous 52 weeks Med, flag","Hepatitis (viral, acute, by type), B, Previous 52 weeks Max","Hepatitis (viral, acute, by type), B, Previous 52 weeks Max, flag","Hepatitis (viral, acute, by type), B, Cum 2017","Hepatitis (viral, acute, by type), B, Cum 2017, flag","Hepatitis (viral, acute, by type), B, Cum 2016","Hepatitis (viral, acute, by type), B, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,7,,31,,100,,7,,23,,13,,54,,79,,13,,58,,,
NEW ENGLAND,2017,1,,-,2,,4,,,-,1,,,-,1,,4,,,-,1,,,
WISCONSIN,2017,28,,-,0,,2,,5,,,-,,-,0,,3,,14,,6,,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2017,28,,-,0,,1,,2,,2,,,-,1,,3,,21,,12,,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2017,28,,-,1,,4,,17,,26,,,-,0,,3,,12,,22,,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2017,28,,-,0,,4,,1,,5,,1,,0,,15,,7,,5,,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2017,28,,-,0,,1,,4,,10,,,-,1,,3,,17,,20,,"MISSOURI
(38.636168, -92.566292)",
WYOMING,2017,28,,-,0,,3,,6,,,-,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
MID. ATLANTIC,2017,1,1,,4,,10,,1,,4,,,-,4,,7,,,-,4,,,
E.S. CENTRAL,2017,28,,-,0,,4,,12,,19,,3,,11,,18,,291,,266,,,
VIRGIN ISL.,2017,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK CITY,2017,1,,-,1,,3,,,-,1,,,-,1,,3,,,-,1,,,
C.N.M.I.,2017,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
E.N. CENTRAL,2017,1,,-,3,,8,,,-,4,,2,,11,,20,,2,,13,,,
TEXAS,2017,28,,-,2,,7,,52,,70,,,-,2,,15,,46,,51,,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2017,28,,-,0,,3,,7,,4,,,-,0,,1,,4,,5,,"CONNECTICUT
(41.544654, -72.651713)",
PUERTO RICO,2017,28,,-,0,,1,,2,,18,,,-,0,,1,,1,,11,,"PUERTO RICO
(18.215692, -66.414655)",
NEW MEXICO,2017,28,,-,0,,1,,2,,1,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEBRASKA,2017,28,,-,0,,4,,1,,8,,,-,0,,2,,4,,5,,"NEBRASKA
(41.640503, -99.367122)",
W.N. CENTRAL,2017,1,,-,1,,5,,,-,,-,,-,1,,7,,,-,4,,,
ALABAMA,2017,28,,-,0,,2,,5,,12,,,-,1,,5,,42,,39,,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2017,28,,-,0,,0,,,-,2,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
S. ATLANTIC,2017,28,1,,7,,54,,182,,174,,,-,23,,33,,556,,650,,,
NEW ENGLAND,2017,28,,-,2,,5,,30,,40,,1,,2,,5,,55,,50,,,
OREGON,2017,28,,-,0,,3,,15,,9,,,-,0,,3,,9,,9,,"OREGON
(44.567912, -120.156945)",
NEVADA,2017,28,,-,0,,2,,6,,9,,,-,0,,3,,11,,11,,"NEVADA
(39.491833, -117.070159)",
DELAWARE,2017,28,,-,0,,1,,1,,,-,,-,0,,2,,8,,1,,"DELAWARE
(39.008676, -75.574561)",
S. ATLANTIC,2017,1,3,,7,,55,,3,,9,,6,,19,,34,,6,,17,,,
IOWA,2017,28,,-,0,,2,,4,,8,,,-,0,,2,,7,,6,,"IOWA
(42.46942, -93.815856)",
VERMONT,2017,28,,-,0,,1,,2,,3,,,-,0,,0,,,-,2,,"VERMONT
(43.622479, -72.51927)",
COLORADO,2017,28,2,,0,,7,,33,,13,,1,,0,,2,,8,,12,,"COLORADO
(38.841772, -106.132562)",
GEORGIA,2017,28,1,,0,,5,,20,,20,,,-,2,,7,,53,,60,,"GEORGIA
(32.836038, -83.631709)",
WEST VIRGINIA,2017,28,,-,0,,4,,5,,3,,,-,4,,12,,102,,157,,"WEST VIRGINIA
(38.668501, -80.709421)",
UTAH,2017,28,,-,0,,2,,9,,7,,,-,0,,1,,4,,2,,"UTAH
(39.359772, -111.584173)",
NEW HAMPSHIRE,2017,28,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PENNSYLVANIA,2017,28,1,,1,,4,,28,,20,,,-,1,,4,,29,,20,,"PENNSYLVANIA
(40.789676, -77.858055)",
E.S. CENTRAL,2017,1,,-,1,,4,,,-,2,,3,,9,,18,,3,,13,,,
MARYLAND,2017,28,,-,0,,5,,13,,11,,,-,1,,2,,16,,16,,"MARYLAND
(39.290443, -76.612333)",
E.N. CENTRAL,2017,28,2,,6,,15,,196,,92,,14,,10,,20,,297,,306,,,
GUAM,2017,28,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OHIO,2017,28,1,,0,,7,,14,,18,,14,,5,,14,,152,,174,,"OHIO
(40.056807, -82.405897)",
W.S. CENTRAL,2017,1,,-,3,,7,,,-,,-,1,,4,,14,,1,,1,,,
NEW YORK CITY,2017,28,3,,1,,6,,54,,23,,2,,1,,4,,29,,38,,,
HAWAII,2017,28,,-,0,,41,,4,,80,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MID. ATLANTIC,2017,28,5,,5,,11,,127,,104,,2,,4,,10,,85,,105,,,
MICHIGAN,2017,28,1,,4,,13,,148,,29,,,-,1,,4,,25,,25,,"MICHIGAN
(44.66399, -84.711206)",
MOUNTAIN,2017,1,1,,2,,5,,1,,3,,1,,1,,3,,1,,2,,,
AMER. SAMOA,2017,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
ARKANSAS,2017,28,,-,0,,3,,3,,3,,1,,1,,5,,27,,25,,"ARKANSAS
(34.748745, -92.275105)",
PACIFIC,2017,1,2,,6,,36,,2,,,-,,-,3,,6,,,-,3,,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
LOUISIANA,2017,28,,-,0,,1,,4,,10,,,-,1,,6,,39,,27,,"LOUISIANA
(31.2931, -92.463284)",
KENTUCKY,2017,28,,-,0,,1,,4,,4,,2,,4,,12,,120,,103,,"KENTUCKY
(37.64591, -84.774043)",
MAINE,2017,33,,-,0,,1,,2,,3,,,-,1,,4,,48,,28,,"MAINE
(45.252223, -68.986647)",
MAINE,2017,1,,-,0,,1,,,-,1,,,-,1,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
TEXAS,2017,1,,-,3,,6,,,-,,-,,-,2,,6,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ALABAMA,2017,1,,-,0,,2,,,-,2,,,-,1,,3,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2017,1,,-,0,,3,,,-,,-,,-,1,,5,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
GEORGIA,2017,1,1,,1,,3,,1,,3,,1,,1,,7,,1,,4,,"GEORGIA
(32.836038, -83.631709)",
NEVADA,2017,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MICHIGAN,2017,1,,-,1,,4,,,-,,-,,-,1,,3,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
KANSAS,2017,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"KANSAS
(38.345528, -98.201847)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW YORK,2017,1,1,,1,,3,,1,,1,,,-,1,,3,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
IOWA,2017,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEW HAMPSHIRE,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MASSACHUSETTS,2017,1,,-,1,,4,,,-,,-,,-,0,,3,,,-,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
LOUISIANA,2017,1,,-,0,,1,,,-,,-,1,,0,,3,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2017,1,,-,0,,2,,,-,,-,2,,4,,7,,2,,5,,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2017,1,,-,1,,5,,,-,3,,,-,2,,6,,,-,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
DIST. OF COL.,2017,1,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UTAH,2017,1,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
OHIO,2017,1,,-,0,,7,,,-,,-,2,,5,,13,,2,,8,,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2017,1,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
CONNECTICUT,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
VIRGINIA,2017,1,,-,2,,40,,,-,,-,,-,1,,5,,,-,1,,"VIRGINIA
(37.542699, -78.45822)",
DELAWARE,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
KENTUCKY,2017,1,,-,0,,2,,,-,,-,1,,3,,11,,1,,6,,"KENTUCKY
(37.64591, -84.774043)",
OKLAHOMA,2017,1,,-,0,,4,,,-,,-,,-,0,,8,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2017,1,,-,1,,4,,,-,2,,,-,0,,3,,,-,2,,"NEW JERSEY
(40.104655, -74.386686)",
ARIZONA,2017,1,,-,1,,3,,,-,1,,,-,0,,2,,,-,1,,"ARIZONA
(34.869712, -111.760902)",
INDIANA,2017,1,,-,0,,3,,,-,3,,,-,4,,9,,,-,3,,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2017,1,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
IDAHO,2017,1,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"IDAHO
(43.680635, -114.364237)",
ALASKA,2017,1,1,,0,,1,,1,,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MONTANA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ILLINOIS,2017,1,,-,1,,4,,,-,1,,,-,0,,3,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
WASHINGTON,2017,1,,-,0,,3,,,-,,-,,-,1,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
CALIFORNIA,2017,1,,-,4,,10,,,-,,-,,-,2,,6,,,-,3,,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2017,1,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
SOUTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW MEXICO,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
PENNSYLVANIA,2017,1,,-,1,,3,,,-,,-,,-,1,,3,,,-,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
WEST VIRGINIA,2017,1,,-,0,,4,,,-,,-,,-,2,,12,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
MINNESOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"MINNESOTA
(46.357661, -94.793397)",
NORTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
FLORIDA,2017,1,2,,2,,7,,2,,2,,5,,11,,17,,5,,6,,"FLORIDA
(28.915325, -81.922409)",
OREGON,2017,1,1,,0,,2,,1,,,-,,-,0,,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
MARYLAND,2017,1,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MISSOURI,2017,1,,-,0,,2,,,-,,-,,-,1,,3,,,-,2,,"MISSOURI
(38.636168, -92.566292)",
RHODE ISLAND,2017,1,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
WISCONSIN,2017,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
COLORADO,2017,1,1,,0,,2,,1,,,-,1,,0,,2,,1,,,-,"COLORADO
(38.841772, -106.132562)",
HAWAII,2017,1,,-,0,,33,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MISSISSIPPI,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WYOMING,2017,2,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
MISSISSIPPI,2017,2,,-,0,,1,,,-,,-,1,,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2017,2,,-,0,,1,,,-,1,,,-,1,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
IDAHO,2017,2,1,,0,,1,,1,,1,,,-,0,,1,,,-,1,,"IDAHO
(43.680635, -114.364237)",
WISCONSIN,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,1,,,-,"WISCONSIN
(44.395526, -89.834513)",
ARIZONA,2017,2,,-,1,,3,,,-,4,,,-,0,,2,,,-,3,,"ARIZONA
(34.869712, -111.760902)",
W.N. CENTRAL,2017,2,,-,1,,5,,,-,,-,,-,2,,7,,,-,6,,,
ALABAMA,2017,2,,-,0,,2,,,-,2,,,-,1,,3,,,-,4,,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2017,2,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MISSOURI,2017,2,,-,0,,2,,,-,,-,,-,1,,3,,,-,2,,"MISSOURI
(38.636168, -92.566292)",
LOUISIANA,2017,2,,-,0,,1,,,-,1,,1,,1,,4,,3,,,-,"LOUISIANA
(31.2931, -92.463284)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH DAKOTA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK,2017,2,,-,1,,3,,1,,2,,,-,1,,3,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
DIST. OF COL.,2017,2,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2017,2,,-,0,,2,,1,,,-,,-,0,,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
ARKANSAS,2017,2,,-,0,,3,,,-,,-,,-,1,,5,,,-,2,,"ARKANSAS
(34.748745, -92.275105)",
VERMONT,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"VERMONT
(43.622479, -72.51927)",
E.N. CENTRAL,2017,2,1,,3,,8,,1,,7,,3,,11,,20,,6,,28,,,
IOWA,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,2,,-,0,,2,,,-,,-,2,,3,,11,,3,,9,,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,"NEVADA
(39.491833, -117.070159)",
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
TENNESSEE,2017,2,,-,0,,2,,,-,,-,,-,4,,7,,3,,8,,"TENNESSEE
(35.681402, -85.774444)",
SOUTH DAKOTA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
WEST VIRGINIA,2017,2,,-,0,,4,,,-,,-,,-,2,,12,,,-,7,,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2017,2,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MARYLAND,2017,2,,-,0,,5,,,-,2,,,-,0,,3,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
CONNECTICUT,2017,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
PACIFIC,2017,2,,-,6,,36,,2,,1,,,-,3,,6,,1,,5,,,
DELAWARE,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"DELAWARE
(39.008676, -75.574561)",
KANSAS,2017,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"KANSAS
(38.345528, -98.201847)",
ILLINOIS,2017,2,,-,1,,4,,,-,2,,,-,0,,3,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
NORTH CAROLINA,2017,2,,-,1,,5,,,-,4,,,-,2,,6,,,-,5,,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2017,2,,-,0,,2,,1,,,-,,-,0,,2,,1,,,-,"COLORADO
(38.841772, -106.132562)",
UTAH,2017,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
FLORIDA,2017,2,1,,2,,7,,3,,5,,11,,11,,17,,18,,14,,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TEXAS,2017,2,,-,3,,6,,,-,3,,1,,2,,7,,1,,1,,"TEXAS
(31.827233, -99.423022)",
RHODE ISLAND,2017,2,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
S. ATLANTIC,2017,2,4,,7,,55,,7,,20,,13,,19,,34,,24,,36,,,
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MICHIGAN,2017,2,,-,1,,4,,,-,1,,,-,1,,3,,,-,2,,"MICHIGAN
(44.66399, -84.711206)",
W.S. CENTRAL,2017,2,,-,3,,8,,,-,4,,2,,4,,14,,4,,3,,,
OHIO,2017,2,1,,0,,7,,1,,,-,3,,6,,13,,5,,17,,"OHIO
(40.056807, -82.405897)",
INDIANA,2017,2,,-,0,,1,,,-,4,,,-,4,,9,,,-,7,,"INDIANA
(39.76845, -86.156212)",
GEORGIA,2017,2,,-,1,,3,,1,,5,,1,,1,,7,,2,,5,,"GEORGIA
(32.836038, -83.631709)",
NEW JERSEY,2017,2,,-,1,,4,,,-,3,,,-,0,,3,,,-,2,,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2017,2,,-,0,,4,,,-,,-,,-,0,,8,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MID. ATLANTIC,2017,2,1,,4,,10,,2,,8,,2,,4,,7,,2,,4,,,
E.S. CENTRAL,2017,2,,-,0,,4,,,-,2,,3,,9,,18,,7,,22,,,
NEW YORK CITY,2017,2,1,,1,,3,,1,,1,,1,,1,,3,,1,,1,,,
CALIFORNIA,2017,2,,-,4,,10,,,-,1,,,-,2,,6,,1,,5,,"CALIFORNIA
(37.640735, -121.002435)",
MOUNTAIN,2017,2,1,,2,,5,,2,,6,,,-,1,,4,,1,,5,,,
MASSACHUSETTS,2017,2,,-,1,,4,,,-,2,,,-,0,,3,,,-,4,,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGINIA,2017,2,3,,2,,40,,3,,2,,,-,1,,5,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
PUERTO RICO,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
HAWAII,2017,2,,-,0,,33,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UNITED STATES,2017,2,7,,32,,101,,14,,51,,23,,54,,79,,45,,114,,,
PENNSYLVANIA,2017,2,,-,1,,3,,,-,2,,1,,1,,3,,1,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
MINNESOTA,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,"MINNESOTA
(46.357661, -94.793397)",
SOUTH CAROLINA,2017,2,,-,0,,2,,,-,2,,1,,0,,3,,2,,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW ENGLAND,2017,2,,-,2,,5,,,-,3,,,-,1,,4,,,-,5,,,
MONTANA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WASHINGTON,2017,2,,-,0,,3,,,-,,-,,-,1,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW YORK CITY,2017,3,2,,1,,3,,3,,1,,1,,1,,3,,2,,3,,,
PENNSYLVANIA,2017,3,,-,1,,3,,1,,2,,,-,1,,3,,1,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2017,3,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
INDIANA,2017,3,,-,0,,1,,,-,4,,,-,4,,9,,2,,10,,"INDIANA
(39.76845, -86.156212)",
MINNESOTA,2017,3,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,"MINNESOTA
(46.357661, -94.793397)",
ALASKA,2017,3,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
W.N. CENTRAL,2017,3,,-,1,,5,,1,,3,,,-,1,,7,,,-,9,,,
OKLAHOMA,2017,3,,-,0,,4,,,-,,-,,-,0,,8,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MISSISSIPPI,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WASHINGTON,2017,3,,-,0,,3,,,-,,-,,-,1,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
DIST. OF COL.,2017,3,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MASSACHUSETTS,2017,3,,-,1,,4,,,-,2,,,-,0,,2,,,-,4,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2017,3,,-,1,,4,,,-,5,,,-,0,,3,,,-,2,,"NEW JERSEY
(40.104655, -74.386686)",
MONTANA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
S. ATLANTIC,2017,3,4,,7,,55,,11,,22,,4,,19,,34,,30,,59,,,
NEVADA,2017,3,,-,0,,2,,,-,1,,,-,0,,2,,,-,1,,"NEVADA
(39.491833, -117.070159)",
E.S. CENTRAL,2017,3,1,,0,,4,,1,,3,,2,,8,,18,,15,,31,,,
MOUNTAIN,2017,3,,-,2,,5,,2,,8,,2,,1,,4,,3,,5,,,
MARYLAND,2017,3,1,,0,,5,,1,,2,,,-,0,,3,,1,,3,,"MARYLAND
(39.290443, -76.612333)",
OREGON,2017,3,1,,0,,2,,2,,1,,,-,0,,3,,,-,1,,"OREGON
(44.567912, -120.156945)",
ALABAMA,2017,3,,-,0,,2,,,-,3,,1,,1,,3,,2,,6,,"ALABAMA
(32.839182, -86.631125)",
IOWA,2017,3,,-,0,,2,,1,,1,,,-,0,,2,,,-,1,,"IOWA
(42.46942, -93.815856)",
UTAH,2017,3,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTH CAROLINA,2017,3,,-,1,,5,,,-,4,,,-,2,,6,,1,,7,,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2017,3,,-,0,,2,,1,,,-,,-,0,,2,,1,,,-,"COLORADO
(38.841772, -106.132562)",
MAINE,2017,3,,-,0,,1,,,-,2,,2,,1,,3,,4,,2,,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2017,3,,-,0,,3,,,-,,-,1,,1,,5,,3,,2,,"ARKANSAS
(34.748745, -92.275105)",
VIRGINIA,2017,3,,-,2,,40,,3,,2,,,-,1,,5,,,-,5,,"VIRGINIA
(37.542699, -78.45822)",
NEW ENGLAND,2017,3,,-,2,,5,,,-,5,,2,,1,,3,,4,,7,,,
OHIO,2017,3,1,,0,,7,,2,,,-,1,,5,,13,,8,,23,,"OHIO
(40.056807, -82.405897)",
AMER. SAMOA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MISSOURI,2017,3,,-,0,,2,,,-,1,,,-,1,,3,,,-,4,,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH DAKOTA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
IDAHO,2017,3,,-,0,,1,,1,,1,,,-,0,,1,,,-,1,,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2017,3,,-,1,,4,,,-,3,,,-,0,,3,,,-,3,,"ILLINOIS
(40.477092, -88.993221)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
